province,commodity,year,min_price,max_price,avg_price,median_price,count
DKI JAKARTA,Pure Beef,2022,122420.0,170000.0,135302.19033232628,135950.0,662
DKI JAKARTA,Pure Beef,2023,129390.0,157850.0,137685.80246913582,136940.0,729
DKI JAKARTA,Pure Beef,2024,130000.0,153820.0,136888.89705882352,136580.0,544
DKI JAKARTA,Red Cayenne Pepper,2022,20000.0,112890.0,51645.99697885197,50380.0,662
DKI JAKARTA,Red Cayenne Pepper,2023,20480.0,110590.0,53151.289437585736,47990.0,729
DKI JAKARTA,Red Cayenne Pepper,2024,23610.0,94910.0,51172.77573529412,47880.0,544
DKI JAKARTA,Shallots,2022,22330.0,71510.0,36584.12386706949,36505.0,662
DKI JAKARTA,Shallots,2023,16200.0,51530.0,34564.224965706446,35690.0,729
DKI JAKARTA,Shallots,2024,18650.0,74630.0,37610.330882352944,36980.0,544
DKI JAKARTA,Simple Packaged Cooking Oil,2022,15290.0,26460.0,19136.389728096678,18740.0,662
DKI JAKARTA,Simple Packaged Cooking Oil,2023,14240.0,18470.0,16605.8573388203,17120.0,729
DKI JAKARTA,Simple Packaged Cooking Oil,2024,14700.0,18440.0,16757.444852941175,16680.0,544
GORONTALO,Broiler Chicken Meat,2022,23000.0,39370.0,31059.939393939392,31380.0,330
GORONTALO,Broiler Chicken Meat,2023,26110.0,36410.0,30624.821917808218,30620.0,365
GORONTALO,Broiler Chicken Meat,2024,31180.0,37480.0,33954.96350364963,33715.0,274
GORONTALO,Bulk Cooking Oil,2022,12890.0,26750.0,14156.56976744186,13620.0,172
GORONTALO,Bulk Cooking Oil,2023,13790.0,18700.0,15663.780821917808,15240.0,365
GORONTALO,Bulk Cooking Oil,2024,13790.0,20020.0,16887.445255474453,16990.0,274
GORONTALO,Bulk Wheat Flour,2022,7500.0,11540.0,10010.878787878788,10280.0,330
GORONTALO,Bulk Wheat Flour,2023,10450.0,12540.0,11388.027397260274,11510.0,365
GORONTALO,Bulk Wheat Flour,2024,9990.0,11300.0,10287.846715328467,10270.0,274
GORONTALO,Chicken Eggs,2022,24530.0,34540.0,28695.515151515152,28545.0,330
GORONTALO,Chicken Eggs,2023,27030.0,34010.0,31199.890410958906,31410.0,365
GORONTALO,Chicken Eggs,2024,30480.0,38860.0,33449.051094890514,32380.000000000004,274
GORONTALO,Consumption Sugar,2022,13440.0,15480.0,14755.060606060606,14810.0,330
GORONTALO,Consumption Sugar,2023,14580.0,18540.0,15522.767123287671,15050.0,365
GORONTALO,Consumption Sugar,2024,17890.0,20830.0,18722.080291970804,18520.0,274
GORONTALO,Curly Red Chili,2022,19670.0,65580.0,37667.030303030304,39255.0,330
GORONTALO,Curly Red Chili,2023,19790.0,84660.0,42435.91780821918,38490.0,365
GORONTALO,Curly Red Chili,2024,20730.0,70000.0,39427.189781021894,40015.0,274
GORONTALO,Garlic,2022,29670.0,35820.0,32145.303030303032,31760.0,330
GORONTALO,Garlic,2023,32050.0,48980.0,40052.27397260274,39980.0,365
GORONTALO,Garlic,2024,37230.0,56380.0,45534.598540145984,44850.0,274
GORONTALO,Medium Rice,2022,10010.0,11180.0,10370.181818181818,10300.0,330
GORONTALO,Medium Rice,2023,10980.0,13500.0,12360.684931506848,12440.0,365
GORONTALO,Medium Rice,2024,12740.0,16390.0,13974.85401459854,13460.0,274
GORONTALO,Premium Rice,2022,10920.0,12390.0,11378.242424242424,11260.0,330
GORONTALO,Premium Rice,2023,12010.0,14870.0,13414.712328767124,13420.0,365
GORONTALO,Premium Rice,2024,14070.0,18010.0,15595.29197080292,15335.0,274
GORONTALO,Pure Beef,2022,123980.0,141840.0,134382.39393939395,137600.0,330
GORONTALO,Pure Beef,2023,132030.0,138730.0,134524.79452054793,134060.0,365
GORONTALO,Pure Beef,2024,128470.0,135740.0,132270.0,132430.0,274
GORONTALO,Red Cayenne Pepper,2022,27680.0,92250.0,50697.30303030303,51835.0,330
GORONTALO,Red Cayenne Pepper,2023,20660.0,141080.0,52764.49315068493,41740.0,365
